,Input,Wav filename,flag value,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,Real Values,Predicted Values
79,80,7.wav,0,-9210.951,-471.7499,90.82421,65.999626,-32.813316,-32.500343,-2.9818413,0.8703433,-13.575711,-2.5804582,-1.3726012,0.12801196,-4.4142523,-0.8251973,-0.16606046,-0.29886174,-0.04702869,-1.5722363,-0.60709506,0.6536837,1,1.0
80,81,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
81,82,7.wav,0,-9210.951,-471.7499,90.82421,65.999626,-32.813316,-32.500343,-2.9818413,0.8703433,-13.575711,-2.5804582,-1.3726012,0.12801196,-4.4142523,-0.8251973,-0.16606046,-0.29886174,-0.04702869,-1.5722363,-0.60709506,0.6536837,1,1.0
82,83,4.wav,0,-9211.461,-472.30432,91.023315,66.396416,-34.004025,-32.350945,-4.259185,0.32417607,-13.535033,-2.7036989,-0.8193113,0.579097,-4.923903,-0.5814281,-0.035183143,0.5499359,-0.36428848,0.23480639,0.3294513,-0.13338162,0,1.0
83,84,11.wav,0,-9210.206,-471.1323,90.68189,65.67198,-32.59853,-32.353996,-3.0210123,1.0831372,-13.998661,-2.4016564,-0.78937536,0.7228693,-5.345025,0.52974063,-0.17049305,0.40674722,-0.3276035,0.051359683,0.03216156,0.19007379,1,1.0
84,85,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
85,86,23.wav,0,-9210.118,-471.93787,90.981964,66.25346,-33.815895,-32.336052,-4.100398,0.47723877,-13.859184,-2.6386044,-0.857441,0.7644909,-5.223916,0.4004986,-0.071490504,0.9658555,-0.6234777,0.061013293,0.34780458,-0.40627518,1,1.0
86,87,10.wav,0,-9211.252,-472.1524,90.98242,66.307205,-33.848003,-32.35512,-4.127347,0.39698634,-13.525415,-2.6764627,-0.81062776,0.58208835,-4.9037743,-0.14071968,-0.059919145,0.61138195,-0.45096952,0.10931263,-0.021828167,-0.11900449,1,1.0
87,88,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
88,89,22.wav,0,-9211.483,-472.29886,91.017784,66.39024,-33.977608,-32.351463,-4.1705055,0.53245276,-14.199075,-2.6235123,-0.9897109,0.9093141,-6.1572127,0.8624882,0.6577165,-0.3138617,-1.3541672,-0.3104099,0.39192545,0.35275093,1,1.0
89,90,18.wav,0,-9211.465,-472.30405,91.022995,66.39673,-34.006435,-32.34967,-4.2852077,0.26070112,-14.003266,-2.904786,-0.91374916,0.35881504,-4.218387,-0.42950177,-0.107011944,0.6448167,0.91788495,0.085380696,0.45702925,-0.7189183,0,1.0
90,91,5.wav,0,-9211.512,-472.31787,91.02263,66.40134,-34.011116,-32.35051,-4.276242,0.3077893,-14.098605,-2.85813,-0.9985233,0.536137,-5.8512316,-0.52358234,-0.010988731,0.5099083,-0.2695304,-0.027509144,0.83236957,0.10498744,0,1.0
91,92,10.wav,0,-9211.252,-472.1524,90.98242,66.307205,-33.848003,-32.35512,-4.127347,0.39698634,-13.525415,-2.6764627,-0.81062776,0.58208835,-4.9037743,-0.14071968,-0.059919145,0.61138195,-0.45096952,0.10931263,-0.021828167,-0.11900449,1,1.0
92,93,21.wav,0,-9211.162,-472.34085,91.00856,66.39749,-34.010536,-32.35022,-4.27221,0.29232782,-13.693108,-2.7858155,-0.92920154,0.5268462,-5.271237,-0.096772686,-0.02877238,0.6128146,-0.7869218,-0.017019432,0.32695937,0.07815081,1,1.0
93,94,21.wav,0,-9211.162,-472.34085,91.00856,66.39749,-34.010536,-32.35022,-4.27221,0.29232782,-13.693108,-2.7858155,-0.92920154,0.5268462,-5.271237,-0.096772686,-0.02877238,0.6128146,-0.7869218,-0.017019432,0.32695937,0.07815081,1,1.0
94,95,21.wav,0,-9211.162,-472.34085,91.00856,66.39749,-34.010536,-32.35022,-4.27221,0.29232782,-13.693108,-2.7858155,-0.92920154,0.5268462,-5.271237,-0.096772686,-0.02877238,0.6128146,-0.7869218,-0.017019432,0.32695937,0.07815081,1,1.0
95,96,3.wav,0,-9211.507,-472.31647,91.023964,66.40091,-34.011486,-32.34991,-4.2768626,0.3092525,-14.062542,-2.8440063,-0.9944438,0.5108373,-5.3697543,-0.2925521,-0.0438597,0.35811815,-0.41749278,-0.025409808,0.48284182,0.5012819,0,1.0
96,97,6.wav,0,-9211.5205,-472.32245,91.021484,66.40303,-34.01526,-32.351498,-4.303554,0.17137499,-13.092539,-2.8188143,-1.1734854,0.15784833,-4.246535,-0.8241329,-0.07234595,-0.3280377,-0.4979757,-1.6023297,-0.29066846,1.3052481,1,1.0
